担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,類似度,参考情報, ,NGワード数,NGワード一覧,再履修
森,22023120,やると決めたら楽しむ,努力をしない限り得られるものはない,一つ一つの仕事は真剣勝負,インターンやアルバイトには価値がある,法律の勉強は絶対に無駄にはならない, , , ,Pattern135,努力限りもの一一仕事真剣勝負インターンアルバイト価値法律勉強絶対無駄,0.61,"対象:24023026 時期:今学期全てのキーワード:やると決めたら楽しむ,好奇心を持って様々なことを体験しそれを経験にする,努力しないと何も得ることはできない,仕事の一つ一つ真剣勝負で行っている,法律の勉強は絶対に無駄にならない", ,1,楽しむ, 
森,22023122,やると決めたら楽しむ,自分をちっぽけと感じるのが大人への始まり,自分で考えて自分で行動することが飛躍につながる,負け試合でもトントンにもっていく熱意,実績信頼自信のサイクル, , , ,Pattern22,自分大人始まり自分自分行動こと飛躍負け試合熱意実績信頼自信サイクル,0.6,"対象:22020061 時期:今学期全てのキーワード:自分で考えて行動する,いつか自分のことがちっぽけだと思ったら大人の始まりである,人との出会いはとても大切,やると決めたら楽しむ,実績信頼自信の正のスパイラル", ,1,楽しむ, 
森,22023124,弁護士には即独立する人もいるがほとんどは最初は事務所に勤務する,消去法で大学を法学部にした,大学では家庭教師やウエイトレス、イベントスタッフなどバイトばかりしていた,元々大学に行きたいとは思っていなかった,やると決めたら楽しむようにしている, , , ,,,, , ,1,楽しむ, 
森,22023126,専門分野とは自分のやることを宣言すること,俯瞰的にみる視点が大切,波を作ってくれた人に誠心誠意お返しをする,声をかけられたら乗ってみる,予想もしないことから人生が広がる, , , ,,,, , ,0,, 
森,22023132,やると決めたら楽しむ,自分はこの世界でとてもちっぽけな存在であることを再認識した,弁護士と法学の世界は全く異なる,やりたいことがあればそれを集中して楽しむ,弁護士は第三者として全体を俯瞰しなければならない, , , ,,,, , ,1,楽しむ, 
森,22023133,やるって決めたら楽しむというマインド。,実績、信頼、自信という正のスパイラル。,弁護士という仕事は第三者的な立場でクライアントに対して全力を尽くす。,波に乗る、そしてその波に対して全力でいく。,物事を俯瞰してみる、自分に満足しない。, , , ,Pattern110,マインド実績信頼自信正スパイラル弁護仕事三立場クライアント全力波全力物事俯瞰自分満足,0.6,"対象:22022405 時期:今学期全てのキーワード:第三者的な位置から俯瞰的に物事を考えて全力で尽くすことが大切。,上手くいかなかったという経験をすることによって改善策を考える力がつき今後が上手くいく。,やると決めたからには楽しむ。,来た波には乗る。そうして積み重ねた実績が信頼を呼び信頼が自信を呼ぶという善のループを生む。,更新され続けていく物事に対して前向きに貪欲に学び続ける姿勢が大切。", ,1,楽しむ, 
森,22023135,弁護士は第三者的な立場から、全体を俯瞰して見なければならないこと。,法律などができるたびに、新しい仕組に追いつく大変さ。,自分の売りは仕事を真剣にできること。,弁護士は人の役に立っていることを実感できること。,やると決めたら楽しむこと。, , , ,Pattern136,弁護三立場全体俯瞰こと法律たび仕組自分売り仕事真剣こと弁護人役こと実感ことこと,0.61,"対象:23022019 時期:今学期全てのキーワード:自分のやりたいことをやっていく,弁護士の仕事は第三者的に全力を尽くすこと,判断が鈍るということは説明が不十分であるということ,（弁護士は）人の役に立てることを実感できる仕事,やると決めたら楽しむ", ,1,楽しむ, 
森,22023137,やると決めたら楽しむ,仲間と教え合い励まし合うことが大切,第三者的な視点を持つことが大切,色々な現場に足を運んで自ら体験してそれを経験にする,インターンやアルバイトにも価値がある, , , ,Pattern104,仲間こと三視点こと現場足自ら体験経験インターンアルバイト価値,0.61,"対象:22022321 時期:今学期全てのキーワード:やると決めたら楽しむ,第三者的な視点を持つ,自分をちっぽけだと思うことが大人の始まり,来た波には乗る,好奇心を持っていろんな現場に足を運んで自ら体験して経験にする", ,1,楽しむ, 
森,22023138,やると決めたら楽しむこと,自分で考えて自分で行動すること,のびしろがあると思うこと,自分のものにしていき来た波には乗ってみる,信頼自信実績の繰り返しやりきる力, , , ,Pattern42,こと自分自分行動ことしろこと自分もの波信頼自信実績力,0.62,"対象:22021178 時期:今学期全てのキーワード:やると決めたら楽しむ,自分で考え自分で行動する,第三者的にふかんして考える,自分のものにしていく、来た波に乗る,実績は信頼につながり自信になっていく", ,1,楽しむ, 
森,22023140,第三者としての視点,巡り合わせ,依頼者との同化による自己への負担の増加,顧問契約と会社経営,波がきたら乗る, , , ,,,, , ,0,, 
森,22023141,留学はいけるときにいかないといけなくなることが分かったので、自分も早めに考えたいです。,独立すると、より一層責任が重くなることがわかりました。自分も意識したいと思いました。,環境に対応する力は大事だと思いました。1対1か１対複数かなどその環境で頑張ることが大事だと感じた。,やると決めたら楽しむことは大切だと思いました。何事も楽しみながらやればよりはかどると思いました。,知らないと怖いものはないということはその通りだと思います。なので怖がらず進むだけだと感じました。, , , ,,,, , ,1,楽しむ, 
森,22023147,嫌だと思っていったらできないし、やると決めたらそのことを全力で楽しんでいくことがとても大切。,のめりこんで熱中することは大切だけれど、俯瞰で第三者視点で見ることはビジネスにおいてもとても大切。,電子契約を例にして弁護士の世界では新しいことが常に入ってくるので、常に勉強する姿勢が大切。,弁護士は儲かる仕事ではなく、一つ一つが真剣勝負で自分が努力しない限り何かを得ることはできない。,せっかく関学に入ったのでそのネットワークを活用していろんなことを体験しそれを将来に生かす。, , , ,Pattern1,こと全力こと熱中こと俯瞰三視点ことビジネス電子契約例弁護世界こと常常勉強姿勢弁護仕事一一真剣勝負自分努力限りこと関学ネットワーク活用こと体験将来,0.67,"対象:22019049 時期:今学期全てのキーワード:【やると決めたら楽しむ】純粋に全てのことを楽しもうとする心がけは豊かな人生に?がるだろう。,【俯瞰的に見る】仕事において第三者的立ち位置から冷静に物事を判断することが大切である。,【来た波には乗る】実績を残すと自信につながる。全ての仕事に誠実に全力で取り組む。,【現状に満足しない】自分で考え行動することを心がけることで自分の人間性やキャリアの成長に繋がる。,【好奇心を持って色々な経験をする】情報社会だからこそそれを活用し様々な経験を大切にしたほうが良い。", ,0,, 
森,22023150,やると決めたら楽しむ,第三者の視点,成功体験,来た波には乗る,好奇心, , , ,Pattern55,三視点成功体験波好奇,0.64,"対象:22022469 時期:今学期全てのキーワード:やると決めたら楽しむ,第三者の視点,来た波には乗る,好奇心,体験", ,1,楽しむ, 
森,22023152,やると決めたら楽しむ。小島さんはいい意味でのマイペースで、周りに流されない自分の芯を持っている。,与えられた仕事はすべて自分がすることだと思っていた。結果的に自分を大きく成長させる良い機会となった。,専門分野とは自分の好きな分野を宣言することだ。この宣言の結果、専門分野を主とする依頼が増えた。,弁護士はMasteryforServiceを実践しやすい。他者のために自分の知識を生かすから。,関学生の皆さんには、自分の好奇心のおもむくままに、現地に足を運び様々な実体験をしてほしい。, , , ,Pattern137,小島意味マイペース周り自分芯仕事すべて自分こと結果自分成長機会専門分野自分分野宣言こと宣言結果専門分野主依頼弁護MasteryforService実践他者ため自分知識関学皆自分好奇まま現地足体験,0.63,"対象:22023545 時期:今学期全てのキーワード:最初から自分で考えて自分から行動することが大切。それが活躍につながる。,波が来たら全力で乗る。それが仕事をくれた人への礼儀だし、自分の信頼や実績等自分のためにもなるからだ。,自分の知識を他者の利益のために使うことが大切。それがMasteryforServiceの実践だ。,やると決めたら、それと同時に楽しむことも決める。,学生の間に好奇心を持って、色んな現場に足を運んで自ら体験し、それらを楽しむべきである。", ,1,楽しむ, 
森,22023153,やると決めたら楽しむ,専門分野は自分が好きなものを宣言するもの,嫌だからやりませんという感覚がなかった,第3者的な視点を持たないとダメ,来た波にはのる, , , ,Pattern138,専門分野自分もの宣言もの感覚3視点ダメ波,0.7,"対象:23023041 時期:今学期全てのキーワード:やると決めたら楽しむ,来た波には乗る,専門分野は自分の好きなものを宣言するということだ,俯瞰的に見る,知らないと怖いものはない", ,1,楽しむ, 
森,22023158,やると決めたことには前だけ向いて一直線に突き進むことと楽しもうとすること,受けた仕事とクライアントに真剣かつ柔軟に向き合うこと,声をかけてもらっているからには依頼を受ける来た波には乗る精神,委任状が届いたことを連絡するなど相手の立場になって考えて行動することの重要性,人との出会いやつながりを大切にすること, , , ,,,, , ,0,, 
森,22023160,やると決めたら楽しむ,弁護士にならなくても起業や政治、その他の分野でも応用できるから法律の勉強は無駄にならない,クライアントがすぐに決断できないということは自分の説明不足,自分の受け持つ授業ではカリキュラムを最後まで終わらせるようにしている,司法試験の講義のカセットテープを聞いていたら法律の面白さを発見し司法試験を受けることを決断した, , , ,Pattern139,弁護起業政治他分野応用法律勉強無駄クライアント決断こと自分説明不足自分授業カリキュラム最後司法試験講義カセットテープ法律発見司法試験こと決断,0.69,"対象:24023438 時期:今学期全てのキーワード:世の中のすべては法律から成り立っている、という言葉に驚きました。法律がいかに重要か考えさせられました,弁護士の仕事は、その人の将来を見据えて何が良いかを見ないと意味がない。,やると決めたら全力で楽しむことが成功への道のり、だということ。,弁護士に向いている人とは、常に新たな法律が出てくるのでそれを楽しみながら勉強できる人。,実績を上げることで周囲の信頼を得て、自信に繋がり、また次の実績へと繋がる、ということ。", ,1,楽しむ, 
森,22023164,【やると決めたら楽しむ】後ろ向きになってしまうときも楽しもうとすることが大切なのだなと感じた。,【弁護士は第三者的な視点で】立場によってものごとの正しい見方は変わってくるのだなと気付かされた。,【来た波に乗る】どんなことでも訪れたチャンスは逃さない小島さんの精神が伺えた。,【基本依頼は断らない】与えられた機会から逃げず、自分のものにしようとすることは大切だなと感じた。,【自分の知識を何のために使うか】どの分野でも、その人がその知識をどう活かすかが大切なのだと気付いた。, , , ,Pattern15,後ろ向きときこと弁護三視点立場ものごと波ことチャンス小島精神基本依頼機会自分ものこと自分知識ため分野人知識,0.64,"対象:22022817 時期:今学期全てのキーワード:司法試験のために学ぶ勉強と実務で必要になる知識はすこし変わってくる,自分で考えて自分で行動することで成長するスピードが格段に上がる,歳を重ねるにつれて自分より優れている人がたくさんいることに気づく,自信をつけるためには何か実績を上げて相手から信頼されることが大切,どれだけ困難なことでもやると決めたら楽しむことが大切", ,1,楽しむ, 
森,22023176,経験させてもらえた,やると決めたら楽しむ,自分がちっぽけだと感じる瞬間は大人になった証拠,人とのつながり,来た波に乗り全力を出す, , , ,,,, , ,1,楽しむ, 
森,22023188,何かを一度やると決めたからにはそれを楽しむ。,仕事を与えてそのまま何もしないボスの下で働いていた時に主体性を持って取り組むことを身に着けた。,依頼が来た仕事は、自分を頼ってくれているということなので基本断らない姿勢でいる。,司法試験合格後の研修ですごく優秀な同期たちに圧倒されたことで自分はちっぽけだど自覚することができた。,自分の心が折れそうなときに助けとなるので縦横のつながりは大切にする。, , , ,Pattern101,一度仕事ままボス下時主体こと身依頼仕事自分こと基本姿勢司法試験合格研修同期圧倒こと自分自覚こと自分心とき縦横つながり,0.6,"対象:22022284 時期:今学期全てのキーワード:司法試験のカセットテープで勉強していたら楽しくなったというのは楽しく続けることが重要だと思った。,クライアントとボスの関係性。ひよっこの状態では楽しくないということ。,やると決めたことは、最後まで前向きに、楽しく行うこと。,失敗したり、過去に不満に思ったことは自分はしないようにすること。,出来ないことでも断らずに、全部自分で行おうとしていたこと。", ,1,楽しむ, 
森,22023196,嫌だと思うことはできないのでやると決めたときは楽しむ,弁護士だとすると第三者の立場をとるなど自分の仕事にふさわしい立場をとる,自分に満足していないことにより伸びしろがある,声をかけられたときはその伸びしろに乗る,好奇心を持って現場に足を運びそれを経験にすることに価値がある, , , ,Pattern13,こととき弁護三立場自分仕事立場自分満足こと伸びしろ声とき伸び好奇現場足経験こと価値,0.62,"対象:22023003 時期:今学期全てのキーワード:「何事も、やると決めたら楽しむ」,人に聞かれたりする前に、自分から行動する。,実際に物事が行われている現場に行って、経験してみることが大切。,人と同じ立場で物事を見るよりも、第三者の視点から客観的に寄り添うことが時には重要。,自分に降ってきたチャンスには、あまり先のことを考えすぎずに、とりあえず乗ってみる", ,1,楽しむ, 
森,22023201,「やる」と決めたら楽しむことが大切である。,第三者的な視点を持つことが大事である。,話を持ち掛けられた時に波に乗ってみることが大事である。,他者の利益のために自分の知識を活用できる方法を探すのが大切である。,好奇心を持ち、色々な現場に足を運び、自ら体験・経験してみるべきである。, , , ,Pattern12,こと三視点こと話時波こと他者利益ため自分知識活用方法好奇現場足自ら体験経験,0.6,"対象:21023011 時期:今学期全てのキーワード:やると決めたら楽しむ,波が来たら乗る,自分の知識を誰かのために使うかという時に他者の利益のためにそれを活用する方法をいつも探している,関学に来たからには関学のネットワークに入った、みなさんもその一員,好奇心を持っていろんな現場に足を運んで自ら体験してそれを経験にする", ,1,楽しむ, 
森,22023204,関学のコミュニティ,やらなきゃいけないことを楽しむ,テレビ,仲間,弁護士は将来の幅が広がる, , , ,,,, , ,1,楽しむ, 
森,22023213,やると決めたら楽しむことが大切で、何事も楽しむ心がないと続けることはできない。,弁護士という職業は、「MasteryforService」を体現したような職業である。,来た波に乗るということは、波を作ってくれた人に対して、何か結果で返さないといけないということ。,好奇心をもって、現場に足を運び、実際にいろいろなことを体験することで得られるものがある。,弁護士を筆頭に、仕事をするうえでは、第三者の視点で客観的にクライアントに接することが大事。, , , ,Pattern140,こと何事心こと弁護職業MasteryforService体現職業波こと波人結果こと好奇現場足実際こと体験こともの弁護筆頭仕事うえ三視点客観クライアントこと,0.67,"対象:25023633 時期:今学期全てのキーワード:やると決めたら楽しむ。このように考えられる人だから学費も自分で払って頑張ることが出来たのだと思う。,楽しいかどうかは自分の気持ち次第で作ることができる。辛いことも楽しさを見出して頑張れば上手くいく。,困った人が目の前に現れる弁護士は、masteryforserviceを体現しやすい職業である。,非常に難しい司法試験の勉強を楽しかったから始めたと聞いて、何事も楽しんで行うことの大切さがわかった。,やってきた波には乗る(何事にも積極的に挑戦する)。", ,1,楽しむ, 
森,22023214,専門分野というのは自分の好きなものを宣言するということ。実際宣言することで自然と仕事が増えた。,やると決めたら楽しむ。前向きに、いやだと思ったらできない。,弁護士の仕事は第三者的に全力を尽くすこと。依頼者と同じ立場に立つのではなく、俯瞰的にみる。,来た波には乗る。良かれと思って声をかけてくれていると思って乗ってみる。,お金は降ってこない。努力しない限り何か得られるものはない。だから一つ一つ真剣勝負。, , , ,Pattern7,専門分野自分もの宣言こと実際宣言こと自然仕事弁護仕事三全力こと依頼立場俯瞰波声金努力限りもの一一真剣勝負,0.61,"対象:22022162 時期:今学期全てのキーワード:インターンやバイトなどいろいろなことに、好奇心をもち、自ら体験して、経験にする。,自分の存在がちっぽけだと思うことが大人の始まりである。,自分の利益のためより、他人の利益のために自分の知識を使う。,どれだけ真実であっても、証拠がないと負けてしまう。証拠が大事。,弁護士の魅力は人の役に立てるというのが実感できるところ。", ,1,楽しむ, 
森,22023218,何事も楽しんでやる,重く考え込みすぎない,俯瞰した視点を持つ,全力でやりきる,相手の気持ちを思いやる, , , ,Pattern141,何事俯瞰視点全力相手気持ち,0.67,"対象:34023044 時期:今学期全てのキーワード:知らないと怖いものはない,支え合う仲間は大切,お金は降ってこないから一つ一つの仕事を全力にする,波が来たら乗る,やると決めたら楽しむ", ,0,, 
森,22023219,学費を全部自分で払っていた。,やると決めたら楽しむ。,自分で考えて積極的に行動する。,自分が努力しないと何も得られない。,すべて全力で取り組む。, , , ,,,, , ,1,楽しむ, 
森,22023225,やると決めたら楽しむ,来た波には乗る,自分が努力しない限り得られるものはない,一つ一つの仕事は全て真剣勝負,他者の利益のために自分の知識を活用する, , , ,Pattern94,波自分努力限りもの一一仕事全て真剣勝負他者利益ため自分知識活用,0.62,"対象:22022844 時期:今学期全てのキーワード:やると決めたら楽しむ,依頼者と同じ立場で物事を見るのではなくちょっと違う面から全体を俯瞰して見る,自分が努力しない限り何か得られるものはない,お仕事は全て真剣勝負,負け試合だと思っていてもトントンに持って行こうとする気持ちが必要", ,1,楽しむ, 
森,22023233,やると決めたらやる,第三者的な視点を持たないとダメ,来た波に乗る,お金は降ってこない,(弁護士の魅力は)人の役に立てることが実感できる, , , ,Pattern88,三視点ダメ波金弁護魅力人役こと実感,0.62,"対象:22023013 時期:今学期全てのキーワード:やると決めたら楽しむ,企業で人を育てる,弁護士の仕事は第三者に全力を尽くすこと,来た波にのる,人の役に立っていると実感できる", ,0,, 
森,22023235,やるって決めたら楽しむ,いやだと思ったら出来ない,前向きに捉えられないとしんどくなる,勉強は絶対に無駄にならない,好奇心を持って現場に足を運び自ら体験するべき, , , ,,,, , ,1,楽しむ, 
森,22023236,周りに流されずに自分のペースでやっていくのが幸せにつながる。,ドラマなどのイメージとは実際違ったりするため、自分で確かめることが大切である。,消去法が良い道につながることもある。,嫌だからやらない精神を持たず、全部自分がする精神を持つ。,弁護士は、第三者に全体を俯瞰して、将来を見据えてその人に対して何がベストかを考える。, , , ,Pattern110,周り自分ペース幸せドラマイメージ実際ため自分こと消去法道こと精神全部自分精神弁護三全体俯瞰将来人ベスト,0.7,"対象:22023133 時期:今学期全てのキーワード:やるって決めたら楽しむというマインド。,実績、信頼、自信という正のスパイラル。,弁護士という仕事は第三者的な立場でクライアントに対して全力を尽くす。,波に乗る、そしてその波に対して全力でいく。,物事を俯瞰してみる、自分に満足しない。", ,0,, 
森,22023250,やると決めたら楽しむ,決断が鈍るのは情報が十分でない,関学のネットワークの一員,声をかけられたら基本断らない,自分の知識を誰のために使うのか, , , ,,,, , ,1,楽しむ, 
森,22023253,やると決めたら楽しむ,来た波には乗る,新人の頃から多くの仕事を任されていたことがいまに繋がっている,自分が努力しない限り得られるものはない,法律問題は決断の連続, , , ,Pattern18,波新人頃多く仕事こといま自分努力限りもの法律問題決断連続,0.61,"対象:21023028 時期:今学期全てのキーワード:やると決めたら楽しむ,弁護士の仕事は第三者的に全力を尽くす,法律問題は決断の連続,来た波にはとりあえず乗ってみる,努力なしにはお金は降ってこないから一つ一つの仕事を真剣に取り組む", ,1,楽しむ, 
森,22023266,司法試験合格,弁護士会に弁護士登録、法律事務所に入所,独立し法律事務所を開設,大工大の財政研究科に入学,関学の司法研究科の准教授に就任, , , ,Pattern142,司法試験合格弁護会弁護登録法律事務入所独立法律事務開設工大財政研究入学関学司法研究教授就任,0.62,"対象:24023001 時期:今学期全てのキーワード:勉強するには励まし合える仲間が必要で，とても助けられる,司法試験の勉強は基礎中の基礎でそれを覚えて使いこなすのが難しい,司法試験に合格してそこからが本当の学びで，裁判所，検察，弁護士事務所を回る,司法試験でしていた勉強と実務は全然違う,大学に行く意味っていうのは関学に行けばわかる。正門，中央芝生，時計台，甲山に関学が詰まっている。", ,0,, 
森,22023277,司法試験,弁護士はお金が降ってこない,自分が努力しない限り何かを得られない,法律の勉強は絶対に無駄にならない,他社の利益のために活用する, , , ,Pattern143,司法試験弁護金自分努力限り法律勉強絶対無駄他社利益ため活用,0.61,"対象:31023329 時期:今学期全てのキーワード:やると決めたら楽しむ,弁護士は人の役に立てるのを実感出来る仕事,法律の勉強は絶対に無駄にならない,知らないからこそ恐れずに挑戦できた,司法試験", ,0,, 
森,22023285,すると自分で決めたら最後まで全力で楽しむということ。,物事を一方的な方向からで見るのではなく俯瞰的な視点で見るということ。,自分の元へやって来たチャンスには挑戦した方が良いということ。,全てのことに真剣に向き合うなど自分が努力しない限り何も起こらないということ。,好奇心を持って自分から行動し様々な経験をすることに価値があるということ。, , , ,Pattern1,自分最後全力こと物事一方方向俯瞰視点こと自分元チャンス挑戦方こと全てこと真剣自分努力限りこと好奇自分行動経験こと価値こと,0.6,"対象:21020020 時期:今学期全てのキーワード:仕事をする上で俯瞰的になる、第三者的な視点を持たなければならない。,現状に満足せずに、のびしろがあることを理解する。すべてのことに一生懸命に取り組む。,人との出会いが自分を助けてくれる。その出会いによって、来た波には乗る。チャンスは掴む。,今の世の中は調べればすぐに情報を得られるが、好奇心を持って、自分で現場に足を運ぶことが大事。,やると決めたら楽しむ。この楽しむということは自分の意志によって実感することができる。", ,1,楽しむ, 
森,22023286,「やると決めたら楽しむ」,司法修習生,クライアントからの依頼を実績で返す→信頼を得る→自信になる→また実績になるの循環,ロースクール（司法の資格予備校的な？）での出会い,集合修習, , , ,,,, , ,1,楽しむ, 
森,22023294,法学部政治学科卒業,二年間司法修習,独立して法律事務所を開設,大阪工業大学に入学,関西学院大学で准教授をしている, , , ,,,, , ,0,, 
森,22023295,やると決めたら楽しむ,弁護士の仕事は第三者的に最善を尽くすことであり、依頼者と同じ立場ではなく、全体を俯瞰することが必要。,来た波には乗る。時には迷ったり否定的になるときもあるが、声をかけてくれているならば乗ってみる。,お金は降ってこない、自分が努力しないと得られない、一つ一つの仕事はすべて真剣勝負。,好奇心を持って色々な現場に足を運び、自ら体験して、経験を積むことが大事。, , , ,Pattern7,弁護仕事三最善こと依頼立場全体俯瞰こと必要波時否定とき声金自分努力一一仕事すべて真剣勝負好奇現場足自ら体験経験こと,0.63,"対象:21023027 時期:今学期全てのキーワード:負け試合だと思っても熱意をもって前向きに捉えてやると決めたら全力で楽しむ,弁護士の仕事は当事者と同じ目線でいることではなく俯瞰的に見て第三者的に全力を尽くすこと,自分の知識を誰のために使うのかといったときに自分のためではなくて他者の利益のために知識を活用する,ネットで調べられることでも好奇心をもって現場に足を運んで自ら体験して経験を積んでそれが自信に繋がる,信頼関係のために聞かれる前に連絡をいれたり小島さんならやれると思ってくれているなら引き受ける", ,1,楽しむ, 
森,22023296,やると決めたら楽しむ、楽しむと決める。,熱中するのは良いが俯瞰してみてみることは大事、第三者の視点を持って,来た波には乗る,自分の利益のためそして他者の利益のため,好奇心を持って現場に行ってみづからいろいろなものに触れる方がよい。, , , ,,,, , ,1,楽しむ, 
森,22023304,やりたいことやり続ける,諦めないで何度も挑戦する,Lawschool,3回生で結婚を考える,検察官が辛かった, , , ,,,, , ,0,, 
森,22023307,やると決めたら楽しむ,第三者的な視点で物事を見る,弁護士は自分の知識を他者のために使うという点でMasteryforServiceを実践しやすい,裁判で主張の裏付けが出来た時やりがいを感じる,弁護士はコミュニケーションの力が大切, , , ,Pattern144,三視点物事弁護自分知識他者ため点MasteryforService実践裁判主張裏付け時やりがい弁護コミュニケーション力,0.64,"対象:22023659 時期:今学期全てのキーワード:やると決めたら楽しいことを,新しいことにチャレンジしたい。知らないことの方が興味深い。,一つ一つのお仕事が真剣勝負。,弁護士のお仕事は第三者的に全力を尽くすこと。ちょっと違う面から全体を俯瞰して何がいいのかを考える。,弁護士はMasteryforServiceを体現できる。", ,1,楽しむ, 
森,22023309,自分のペースをうまくつかみ活用した,やるって決めたら楽しむ,自分の仕事に自信がなかったが困難を乗り越えて今後の自信につながった,自分が努力をしない限り何か変えることはできない,向かっていこう、負け試合だと思っていてもトントンでなんとかそこにもっていこうとする熱意, , , ,Pattern120,自分ペース活用自分仕事自信困難今後自信自分努力限りこと負け試合熱意,0.61,"対象:22022790 時期:今学期全てのキーワード:やると決めたら楽しむ,楽しむと決める,楽しむのは自分の意志,楽しく自分自身と戦ってた事を次は周りと競い合う,自分の存在がちっぽけと気づいた瞬間が大人の始まり", ,1,楽しむ, 
森,22023310,やったことの無いことを自ら進んで選んできた。法学部は消去法で選んだが楽しかった。,バイトして自分で学費を払った。色んなバイトをしてたくさんの経験と充実感を得られた。,やると決めたら楽しむということをモットーに、自分のペースで司法試験に合格できた。,事務所に入って1ヶ月で一人で現場に行くという稀な経験ができて良かった。,人生が関学に入ってから始まった。入るきっかけも弁護士になったきっかけも関学のネットワーク。, , , ,Pattern145,ことこと自ら法学部消去バイト自分学費バイト経験充実感ことモットー自分ペース司法試験合格事務1ヶ月一人現場経験人生関学きっかけ弁護きっかけ関学ネットワーク,0.62,"対象:25023403 時期:今学期全てのキーワード:関西学院を卒業後、司法試験を受け数年間チャレンジした結果合格した。,はじめは大学に通うつもりはなかったが、通ってみて本当に通ってよかったと思っている。,ボスである上司がなんでも任せてくれる人で、大変なことも多かったがよい経験をさせて貰えた。,大学で教える際は自分が学生の立場でされたくないことはしない。,司法試験の勉強の際は、どちらかというと楽しんで取り組んだ。", ,1,楽しむ, 
森,22023315,やると決めたら楽しむ,第三者的な視点を持たなければならない,自分の小ささに気づく,波が来たら乗る,学生生活を楽しむ, , , ,Pattern146,三視点自分学生生活,0.61,"対象:26021007 時期:今学期全てのキーワード:楽しむと決めて楽しむ,波が来たら乗る,実績と信頼と自信,知らない世界に飛び込む,人との繋がりの大切さ", ,1,楽しむ, 
森,22023316,来た波には乗る後先結果を考えすぎず目の前に来た問題をしっかりやり抜くことが大事である。,今の自分があるのは関学のおかげで、人生がそこで始まった。,あらゆる仕事や問題を解決する際やると決めたら楽しむ。,弁護士の魅力は困っている人が目の前にいるので、助けた時人の役に立ってることを肌で感じることができる。,法学部を選んだ理由が今までと異なることをしてみたいという気持ちがあったということ。, , , ,Pattern147,波後先結果目前問題こと今自分関学おかげ人生仕事問題解決際弁護魅力人目前時人役こと肌こと法学部理由今こと気持ちこと,0.6,"対象:24023259 時期:今学期全てのキーワード:周りに振り回されず、マイペースに物事を進めていくことが物事をうまく進める上でのポイントである,嫌なことは続かないから、楽しんでやろう！と決めて取り組むことが大切。,自分の法律の知識を使ってクライアントの役に立ててることが励みになる。,波にのり、熱意を持って実績を作ることを意識している。,社会人になり、弁護士の実務に務める中で、学生時代にやった勉強以外の経験が役にたってると思うことがある", ,1,楽しむ, 
森,22023318,やると決めたら楽しむ,若くても未熟でも自分で考えて行動する経験が大切,心の中では迷うような依頼でも引き受けてみる,第三者的な視点で見る,自分の知識をだれのために使うか探す, , , ,Pattern148,自分行動経験中依頼三視点自分知識ため,0.61,"対象:24023803 時期:今学期全てのキーワード:明るくチャレンジ,やると決めたら楽しむ,第三者的視点を持つ,成功体験からの自信,来た波には乗ってみる", ,1,楽しむ, 
森,22023330,未熟者→まだまだ伸びしろがある,来た波には乗る→否定的に思うものであったとしても。声をかけてくれたものはやる,一つ一つのお仕事は真剣勝負,やると決めたら楽しむ→楽しむことは自分の意志,信頼を得ると自信につながる、自信を得ると実績にもどる。, , , ,,,, , ,1,楽しむ, 
森,22023334,やると決めたら楽しむ,実績信頼自信のスパイラル,波に乗る,留学は良い経験,嫌だと思ったら出来ない, , , ,Pattern149,実績信頼自信スパイラル留学経験,0.6,"対象:23022096 時期:今学期全てのキーワード:やると決めたら楽しむ,実績→信頼→自信,出会い,経験,無力さの知覚", ,1,楽しむ, 
森,22023335,やると決めたら楽しむ,弁護士は第３者的に全力を注ぐものであり俯瞰的に見ることが大切である,来た波にはのる,全体から将来を見据えてクライアントにとって何がいいのかを考える,好奇心を持ち色んな現場に足を運び自ら体験する経験をして欲しい, , , ,Pattern150,弁護３全力もの俯瞰こと波全体将来クライアント好奇現場足自ら体験経験,0.6,"対象:24023495 時期:今学期全てのキーワード:やると決めたら楽しむ,来た波には乗る,好奇心を持っていろんな現場に足を運んで自ら体験してそれを経験にする。,法律問題は決断の連続,弁護士は人の役に立てることが実感できる。", ,1,楽しむ, 
森,22023337,やると決めたら楽しむ,自分で考えて自分で行動する,前向きに捉える,実践して自信をもってまた実践する,波が来たら乗る, , , ,,,, , ,1,楽しむ, 
